city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Mexico City,19.4333,-99.1333,Mexico,MX,Ciudad de México,primary,20996000,8918653
Acopilco,19.2000,-99.1900,Ciudad de México,,,,,
Agricola Oriental Norte,19.2500,-99.0400,Ciudad de México,,,,,
Agricola Oriental Sur,19.2400,-99.0400,Ciudad de México,,,,,
Aguilera,19.2800,-99.0900,Ciudad de México,,,,,
Ahuayucan,19.1300,-99.0600,Ciudad de México,,,,,
Aldama,19.2800,-99.0900,Ciudad de México,,,,,
Alvaro Obregon,19.2224,-99.1330,Ciudad de México,,,,,
Aragon Inguaran,19.2800,-99.0700,Ciudad de México,,,,,
Azcapotzalco,19.2920,-99.1101,Ciudad de México,,,,,
Barrio Norte,19.2100,-99.1200,Ciudad de México,,,,,
Belisario Dominguez,19.2700,-99.0700,Ciudad de México,,,,,
Benito Juarez,19.2222,-99.0923,Ciudad de México,,,,,
Benito Juarez,19.2306,-99.0954,Ciudad de México,,,,,
Campestre Churubusco,19.2100,-99.0800,Ciudad de México,,,,,
Casas Aleman,19.2700,-99.0600,Ciudad de México,,,,,
Caseta Forestal,19.1042,-99.1448,Ciudad de México,,,,,
Churubusco,19.2100,-99.0900,Ciudad de México,,,,,
Ciudad de México,19.2542,-99.0740,Ciudad de México,,,,,
Ciudad Universitaria,19.2000,-99.1200,Ciudad de México,,,,,
Coapa,19.1900,-99.0900,Ciudad de México,,,,,
Col. Bosques de las Lomas,19.2244,-99.1557,Ciudad de México,,,,,
Col. Extremadura Insurgentes,19.2235,-99.1049,Ciudad de México,,,,,
Col. Mixcoac,19.2223,-99.1119,Ciudad de México,,,,,
Colonia Agricola Oriental,19.2400,-99.0500,Ciudad de México,,,,,
Colonia Condesa,19.2443,-99.1046,Ciudad de México,,,,,
Colonia del Valle,19.2310,-99.0943,Ciudad de México,,,,,
Colonia Escandon,19.2402,-99.1038,Ciudad de México,,,,,
Colonia Napoles,19.2334,-99.1023,Ciudad de México,,,,,
Colonia Narvarte,19.2318,-99.0936,Ciudad de México,,,,,
Colonia Nativitas,19.2252,-99.0813,Ciudad de México,,,,,
Colonia Pantitlan,19.2500,-99.0400,Ciudad de México,,,,,
Colonia Portales,19.2215,-99.0830,Ciudad de México,,,,,
Colonia Roma,19.2505,-99.0947,Ciudad de México,,,,,
Constitucion de la Republica,19.2900,-99.0600,Ciudad de México,,,,,
Cosmopolita,19.2800,-99.1000,Ciudad de México,,,,,
Coyoacan,19.1944,-99.0937,Ciudad de México,,,,,
Cuajimalpa,19.2121,-99.1804,Ciudad de México,,,,,
Cuarto Dinamo,19.1558,-99.1751,Ciudad de México,,,,,
Cuauhtemoc,19.2502,-99.0925,Ciudad de México,,,,,
Cuautepec,19.3400,-99.0800,Ciudad de México,,,,,
Culhuacan,19.2000,-99.0600,Ciudad de México,,,,,
Defensores de la Republica,19.2900,-99.0900,Ciudad de México,,,,,
Educacion,19.2000,-99.0800,Ciudad de México,,,,,
El Arenal,19.2800,-99.0900,Ciudad de México,,,,,
El Gas,19.2800,-99.1000,Ciudad de México,,,,,
El Guarda,19.0900,-99.1100,Ciudad de México,,,,,
El Olivo,19.2314,-99.1638,Ciudad de México,,,,,
Escalera,19.3100,-99.0900,Ciudad de México,,,,,
Escuadron 201,19.2200,-99.0700,Ciudad de México,,,,,
Euzkadi,19.2900,-99.0900,Ciudad de México,,,,,
Faja de Oro,19.2800,-99.0600,Ciudad de México,,,,,
Fernando Casas Aleman,19.2700,-99.0600,Ciudad de México,,,,,
